transaction_id,date,time,amount,merchant,description,category,payment_method,bank,status
TXN202401010043,2024-01-01,15:18:13,6465.43,RedBus,Bus ticket booking,Transport,Net Banking,Yes Bank,Success
TXN202401030367,2024-01-03,07:34:12,26919.77,PG Accommodation,PG monthly payment,Rent,Net Banking,IndusInd Bank,Success
TXN202401040130,2024-01-04,12:19:13,35228.68,HDFC Bank EMI,Home loan EMI,EMI,Debit Card,PNB,Success
TXN202401050100,2024-01-05,07:58:38,3776.83,Vi (Vodafone Idea),Postpaid bill,Utilities,Debit Card,Axis Bank,Success
TXN202401050304,2024-01-05,16:00:48,5326.97,Grofers,Grocery delivery order,Grocery,Debit Card,HDFC Bank,Success
TXN202401050485,2024-01-05,13:05:09,90,Faasos,Wraps and rolls delivery,Food,Cash,Kotak Bank,Success
TXN202401050491,2024-01-05,07:37:50,10370.55,Delhi Metro,Metro recharge,Transport,UPI,PNB,Success
TXN202401060418,2024-01-06,23:55:35,7500,ICICI Prudential,Mutual fund investment,Investment,Cash,IndusInd Bank,Success
TXN202401070234,2024-01-07,06:33:46,4142.87,IndiGo Airlines,Domestic flight ticket,Transport,UPI,IndusInd Bank,Success
TXN202401080022,2024-01-08,08:59:48,4270,Indane Gas,LPG cylinder booking,Utilities,Wallet,Yes Bank,Success
TXN202401080114,2024-01-08,17:50:50,7518.98,Coursera,Online certification course,Education,UPI,Kotak Bank,Success
TXN202401080226,2024-01-08,12:59:12,48120,SBI Mutual Fund,SIP installment,Investment,Wallet,Axis Bank,Success
TXN202401090218,2024-01-09,13:13:04,1540,MakeMyTrip,Travel booking,Transport,UPI,Axis Bank,Success
TXN202401100132,2024-01-10,20:58:04,12945.44,Max Healthcare,Medical check-up,Healthcare,Cash,Bank of Baroda,Success
TXN202401100154,2024-01-10,14:13:53,416.32,Zomato,Online food delivery,Food,Cash,HDFC Bank,Success
TXN202401120313,2024-01-12,08:12:57,32476.35,Groww,Mutual fund SIP,Investment,UPI,PNB,Success
TXN202401150125,2024-01-15,11:17:44,1167.14,BookMyShow,Movie tickets,Entertainment,Net Banking,SBI,Success
TXN202401170499,2024-01-17,12:06:31,520,Biryani Blues,Biryani delivery order,Food,Cash,Yes Bank,Success
TXN202401190202,2024-01-19,18:50:31,506.46,FreshMenu,Healthy meal delivery,Food,Debit Card,SBI,Success
TXN202401190299,2024-01-19,23:51:58,18136.5,ICICI Lombard,Health insurance renewal,Insurance,Credit Card,PNB,Success
TXN202401200039,2024-01-20,09:38:27,15370.61,MagicBricks Rent,Rental apartment payment,Rent,Cash,IDFC First,Failed
TXN202401200346,2024-01-20,18:56:56,1790,BSNL,Landline + broadband bill,Utilities,Wallet,Kotak Bank,Success
TXN202401210291,2024-01-21,07:50:25,1291.2,McDonald's India,Fast food restaurant,Food,Cash,Bank of Baroda,Success
TXN202401220197,2024-01-22,15:45:05,584.26,BookMyShow,Movie tickets,Entertainment,Debit Card,Yes Bank,Success
TXN202401220430,2024-01-22,12:33:58,6373.39,BigBasket,Online grocery order,Grocery,Wallet,SBI,Success
TXN202401230090,2024-01-23,16:47:30,21304.22,Chegg India,Study resources subscription,Education,Cash,ICICI Bank,Success
TXN202401240095,2024-01-24,16:50:03,2488.27,Big Bazaar,Monthly grocery shopping,Grocery,UPI,Axis Bank,Success
TXN202401240178,2024-01-24,14:41:13,23125.29,BYJU'S,Learning app subscription,Education,UPI,Yes Bank,Success
TXN202401240369,2024-01-24,15:18:29,1833.19,Biryani Blues,Biryani delivery order,Food,Net Banking,Bank of Baroda,Success
TXN202401240379,2024-01-24,06:54:08,1680,Biryani Blues,Biryani delivery order,Food,Net Banking,Yes Bank,Failed
TXN202401250155,2024-01-25,13:26:40,1995.05,Zomato,Online food delivery,Food,UPI,Yes Bank,Success
TXN202401250468,2024-01-25,18:06:44,4330,Westside,Casual wear shopping,Shopping,Debit Card,Yes Bank,Success
TXN202401260378,2024-01-26,09:52:11,7018.3,JioMart,Online grocery purchase,Grocery,Net Banking,PNB,Success
TXN202401270142,2024-01-27,16:04:21,937.15,Nature's Basket,Organic grocery shopping,Grocery,Debit Card,Kotak Bank,Success
TXN202401270150,2024-01-27,21:55:23,1410,Haldiram's,Sweets and snacks purchase,Food,UPI,Kotak Bank,Success
TXN202401270490,2024-01-27,12:07:15,5136.69,Reliance Fresh,Fresh vegetables and fruits,Grocery,UPI,Kotak Bank,Success
TXN202401280385,2024-01-28,06:41:59,4176.11,Westside,Casual wear shopping,Shopping,Wallet,ICICI Bank,Success
TXN202401280400,2024-01-28,07:12:17,1890,Dominos Pizza,Pizza delivery order,Food,Debit Card,Kotak Bank,Success
TXN202401290322,2024-01-29,13:38:14,328.32,Ola Cabs,Auto ride,Transport,Net Banking,IDFC First,Success
TXN202401300223,2024-01-30,23:26:26,1420,Faasos,Wraps and rolls delivery,Food,Credit Card,Kotak Bank,Success
