category,question,answer,tags,source
tax_basics,"What is Section 80C?","Section 80C allows deductions up to ₹1.5 lakh per year on investments like PPF, ELSS, EPF, NSC, life insurance premiums, tuition fees for children, and 5-year fixed deposits. It is the most commonly used tax-saving section for salaried individuals.","80C;tax_saving;investment","Income Tax Act"
tax_basics,"What is Section 80D?","Section 80D allows deductions on health insurance premiums. You can claim up to ₹25,000 for self/family and an additional ₹25,000 (₹50,000 for senior citizens) for parents' health insurance. Preventive health check-ups up to ₹5,000 are also covered within this limit.","80D;health_insurance;medical","Income Tax Act"
tax_basics,"What is the standard deduction for salaried employees?","Salaried employees and pensioners get a flat standard deduction of ₹50,000 from their gross salary. This was increased from ₹40,000 in Budget 2019. No bills or proof required — it is automatically applied.","standard_deduction;salary","Income Tax Act"
tax_basics,"What is HRA exemption and how is it calculated?","House Rent Allowance (HRA) exemption is available to salaried individuals who pay rent. The exempt amount is the minimum of: (1) Actual HRA received, (2) 50% of salary if metro / 40% if non-metro, (3) Rent paid minus 10% of salary. You need rent receipts and landlord PAN (if rent > ₹1 lakh/year).","HRA;rent;salary","Income Tax Act"
tax_basics,"What is Section 24(b)?","Section 24(b) allows deduction of up to ₹2 lakh per year on interest paid on home loan for a self-occupied property. For let-out properties, there is no upper limit on interest deduction. The property must be owned by the taxpayer.","24b;home_loan;housing","Income Tax Act"
tax_basics,"What is Section 80CCD(1B)?","Section 80CCD(1B) provides an additional deduction of ₹50,000 for contributions to the National Pension System (NPS). This is over and above the ₹1.5 lakh limit under Section 80C, making total NPS benefit up to ₹2 lakh.","80CCD;NPS;retirement","Income Tax Act"
tax_basics,"What is Section 80E?","Section 80E allows deduction on interest paid on education loans. There is no upper limit on the deduction amount, but it is available only for 8 years from the start of repayment. The loan must be for higher education of self, spouse, or children.","80E;education_loan;interest","Income Tax Act"
tax_basics,"What is Section 80G?","Section 80G allows deductions on donations to eligible charitable institutions and relief funds. Depending on the organization, you can claim 50% or 100% deduction. The donation must be made to registered NGOs or government-approved funds.","80G;donation;charity","Income Tax Act"
tax_basics,"Old regime vs New regime — which is better?","Old regime offers more deductions (80C, 80D, HRA, etc.) but has higher tax rates. New regime has lower tax rates but no deductions except standard deduction. If your total deductions exceed ~₹3.75 lakh, old regime is usually better. If you have few deductions, new regime saves more.","tax_regime;old_vs_new;comparison","Income Tax Act"
tax_basics,"What are advance tax payment deadlines?","Advance tax must be paid in 4 installments: 15% by June 15, 45% by September 15, 75% by December 15, and 100% by March 15. If total tax liability exceeds ₹10,000 in a year, advance tax is mandatory. Salaried individuals with TDS usually don't need to pay advance tax.","advance_tax;deadline;payment","Income Tax Act"
budgeting,"How should I follow the 50/30/20 rule?","The 50/30/20 rule divides your after-tax income: 50% for needs (rent, groceries, utilities, EMIs), 30% for wants (dining out, entertainment, shopping), and 20% for savings/investments (SIP, PPF, emergency fund). Adjust percentages based on your income level and financial goals.","budgeting;rule;savings","Financial Planning"
