"expense_id","user_id","transaction_date","amount","currency","category","subcategory","description","merchant_name","payment_method","is_business_expense","receipt_available","project_code","address_street","address_city","address_state","address_postal_code","address_country","created_at","updated_at"
"EXP001","USR-3KJ8Q2ZL","2024-04-15","53.25","USD","Food","Restaurant","Business lunch at The Grove with client team.","The Grove Bistro","credit_card","true","true","CODE-2024","457 Market St","San Francisco","CA","94105","US","2024-04-15T13:25:08Z","2024-04-15T13:30:02Z"
"EXP002","USR-9VD3M5NL","2024-02-29","0","USD","Other","Refund","Refund for overcharged utilities bill.","Pacific Utilities","bank_transfer","false","false","","120 Pine Ave","Seattle","WA","98101","US","2024-02-29T08:15:33Z",""
"EXP003","USR-1ZB7P2XQ","2023-12-23","19.99","AUD","Entertainment","Streaming","Monthly Netflix subscription for home.","Netflix Australia","debit_card","false","false","","16 George St","Sydney","NSW","2000","AU","2023-12-23T18:05:27Z",""
"EXP004","USR-7KH2R9WL","2024-04-02","86.75","EUR","Travel","Train","Business train ticket Berlin to Hamburg.","Deutsche Bahn","credit_card","true","true","PRJ-2431","123 Friedrichstr.","Berlin","BE","10117","DE","2024-04-02T09:12:45Z","2024-04-02T09:14:00Z"
"EXP005","USR-5CX9N4JB","2024-03-29","45.5","CAD","Food","Cafe","Coffee and pastries for morning meeting.","Bean & Leaf","debit_card","false","true","","555 Burrard St","Vancouver","BC","V6C3A6","CA","2024-03-29T08:45:16Z","2024-03-29T08:46:05Z"
"EXP006","USR-8DP5S1QK","2024-01-18","1299.99","USD","Office Supplies","Furniture","Executive office chair for new manager.","Office Depot","bank_transfer","true","true","MGMT-2024","678 Oakwood Blvd","Chicago","IL","60611","US","2024-01-18T16:02:10Z","2024-01-18T16:03:32Z"
"EXP007","USR-2FB7L6MC","2023-11-04","10.5","CHF","Food","Restaurant","Dinner at Zurich central for personal.","Zurich Grill","cash","false","false","","44 Bahnhofstrasse","Zurich","ZH","8001","CH","2023-11-04T19:20:12Z",""
"EXP008","USR-6QJ8T3SC","2024-03-13","275.6","GBP","Travel","Flight","Flight to London for conference keynote.","British Airways","credit_card","true","true","CONF-2024","10 Piccadilly","London","ENG","W1J9HS","GB","2024-03-13T12:01:22Z","2024-03-13T12:05:05Z"
"EXP009","USR-7UV9D2XA","2023-10-19","17.8","JPY","Entertainment","Karaoke","Karaoke night in Shibuya with friends.","Karaoke Kan","mobile_payment","false","true","","18 Dogenzaka","Tokyo","TKY","1500043","JP","2023-10-19T21:10:49Z","2023-10-19T21:12:35Z"
"EXP010","USR-9SA2F8PW","2024-04-10","47.65","USD","Utilities","Internet","Monthly Xfinity internet bill for apartment.","Xfinity","bank_transfer","false","true","","2100 Polk St","San Francisco","CA","94109","US","2024-04-10T07:55:22Z","2024-04-10T07:58:00Z"
